Name,Name_Tamil,Description,Website,Max_Cutoff,Default_Formula,Category
TNEA,தமிழ்நாடு பொறியியல் சேர்க்கை,Tamil Nadu Engineering Admissions - All engineering courses,https://tneaonline.org,200,Maths + Physics/2 + Chemistry/2,Engineering
TNEA - Vocational,தமிழ்நாடு பொறியியல் சேர்க்கை - தொழிற்கல்வி,Tamil Nadu Engineering Admissions - Vocational stream,https://tneaonline.org,200,Maths + theory/2 + practical/2,Engineering
TNDALU,தமிழ்நாடு அம்பேத்கர் சட்டப் பல்கலைக்கழகம்,Tamil Nadu Dr. Ambedkar Law University - All law courses,https://tndalu.ac.in,100,(S3 + S4 + S5 + S6) / 4,Law
TANUVAS - BVSC,தமிழ்நாடு கால்நடை மருத்துவ அறிவியல் பல்கலைக்கழகம் - BVSC,BVSC - Bachelor of Veterinary Science,https://tanuvas.ac.in,200,Biology + Physics/2 + Chemistry/2,Veterinary
TANUVAS - BVSC - Vocational,தமிழ்நாடு கால்நடை மருத்துவ அறிவியல் பல்கலைக்கழகம் - BVSC - தொழிற்கல்வி,BVSC - Vocational stream,https://tanuvas.ac.in,200,Biology + theory/2 + practical/2,Veterinary
TANUVAS - B.Tech,தமிழ்நாடு கால்நடை மருத்துவ அறிவியல் பல்கலைக்கழகம் - B.Tech,B.Tech Food/Poultry/Dairy Technology,https://tanuvas.ac.in,200,Biology/2 + Physics/2 + Chemistry/2 + Maths/2,Veterinary
TNAU - Agriculture,தமிழ்நாடு வேளாண் பல்கலைக்கழகம் - வேளாண்மை,B.Sc Agriculture/Horticulture/Forestry/Sericulture + Biotech/Bioinformatics/Agribusiness,https://tnau.ac.in,200,Biology/2 + Physics/2 + Chemistry/2 + LIST_A/2,Agriculture
TNAU - Agriculture - BotZoo,தமிழ்நாடு வேளாண் பல்கலைக்கழகம் - வேளாண்மை - தாவர விலங்கியல்,TNAU Agriculture courses for Botany+Zoology group,https://tnau.ac.in,200,Physics/2 + Chemistry/2 + Botany/2 + Zoology/2,Agriculture
TNAU - Agriculture - Vocational,தமிழ்நாடு வேளாண் பல்கலைக்கழகம் - வேளாண்மை - தொழிற்கல்வி,TNAU Agriculture courses for Vocational stream,https://tnau.ac.in,200,Biology/2 + computer tech/2 + theory/2 + practical/2,Agriculture
TNAU - Food Nutrition,தமிழ்நாடு வேளாண் பல்கலைக்கழகம் - உணவு ஊட்டச்சத்து,B.Sc Food Nutrition and Dietetics,https://tnau.ac.in,200,Biology/2 + Physics/2 + Chemistry/2 + LIST_B/2,Agriculture
TNAU - Food Nutrition - BotZoo,தமிழ்நாடு வேளாண் பல்கலைக்கழகம் - உணவு ஊட்டச்சத்து - தாவர விலங்கியல்,B.Sc Food Nutrition for Botany+Zoology group,https://tnau.ac.in,200,Physics/2 + Chemistry/2 + Botany/2 + Zoology/2,Agriculture
TNAU - Agri Engineering,தமிழ்நாடு வேளாண் பல்கலைக்கழகம் - வேளாண் பொறியியல்,B.Tech Agricultural Engineering/Food Tech/Energy/IT,https://tnau.ac.in,200,Biology/2 + Physics/2 + Chemistry/2 + LIST_C/2,Agriculture
TNJFU - Fisheries,தமிழ்நாடு மீன்வளப் பல்கலைக்கழகம் - மீன்வளவியல்,B.F.Sc - Bachelor of Fisheries Science,https://tnjfu.ac.in,200,Biology/2 + Physics/2 + Chemistry/2 + LIST_D/2,Fisheries
TNJFU - Fisheries - BotZoo,தமிழ்நாடு மீன்வளப் பல்கலைக்கழகம் - மீன்வளவியல் - தாவர விலங்கியல்,B.F.Sc for Botany+Zoology group,https://tnjfu.ac.in,200,Physics/2 + Chemistry/2 + Botany/2 + Zoology/2,Fisheries
TNJFU - Fisheries - Vocational,தமிழ்நாடு மீன்வளப் பல்கலைக்கழகம் - மீன்வளவியல் - தொழிற்கல்வி,B.F.Sc for Vocational stream,https://tnjfu.ac.in,200,Biology/2 + computer tech/2 + theory/2 + practical/2,Fisheries
TNJFU - B.Tech,தமிழ்நாடு மீன்வளப் பல்கலைக்கழகம் - B.Tech,B.Tech Fisheries Engineering/Food Tech/Energy,https://tnjfu.ac.in,200,Maths/2 + Physics/2 + Chemistry/2 + LIST_E/2,Fisheries
TNJFU - B.Voc,தமிழ்நாடு மீன்வளப் பல்கலைக்கழகம் - B.Voc,B.Voc Industrial Fish Processing/Aquaculture/Fishing Tech,https://tnjfu.ac.in,100,AVG,Fisheries
TN Paramedical - Pharmacy,தமிழ்நாடு துணைமருத்துவம் - மருந்தியல்,B.Pharm/BASLP/B.Optom,https://tnhealth.tn.gov.in,200,Physics/2 + Chemistry/2 + LIST_F/2,Medical & Paramedical
TN Paramedical - Pharmacy - BotZoo,தமிழ்நாடு துணைமருத்துவம் - மருந்தியல் - தாவர விலங்கியல்,B.Pharm/BASLP/B.Optom for Botany+Zoology group,https://tnhealth.tn.gov.in,200,Physics/2 + Chemistry/2 + Botany/2 + Zoology/2,Medical & Paramedical
TN Paramedical - Nursing,தமிழ்நாடு துணைமருத்துவம் - நர்சிங்,B.Sc Nursing/BPT/Radiology and other paramedical,https://tnhealth.tn.gov.in,200,Biology + Physics/2 + Chemistry/2,Medical & Paramedical
TN Paramedical - Nursing - BotZoo,தமிழ்நாடு துணைமருத்துவம் - நர்சிங் - தாவர விலங்கியல்,Paramedical Nursing courses for Botany+Zoology group,https://tnhealth.tn.gov.in,200,Physics/2 + Chemistry/2 + Botany/2 + Zoology/2,Medical & Paramedical
